È¸Â÷,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×
811,7,2524148197,49,60098767,2151,1369057,104155,50000,1703788,5000
810,8,2231598047,64,46491626,2053,1449325,100608,50000,1672013,5000
809,6,2921372750,56,52167371,2179,1340695,104350,50000,1703714,5000
808,6,3087620500,46,67122185,1962,1573711,95319,50000,1597761,5000
807,7,2437662322,59,48202363,2319,1226365,108300,50000,1749855,5000
806,7,2640760875,57,54050662,1850,1665345,91180,50000,1561838,5000
805,4,4266061969,53,53661157,2075,1370623,105602,50000,1700112,5000
804,11,1631996523,49,61061095,2048,1460935,100907,50000,1659443,5000
803,5,3663810225,50,61063504,2094,1458059,102413,50000,1657869,5000
802,16,1082947993,67,43102408,2207,1308501,107980,50000,1814300,5000
801,8,2256786657,51,59000959,1999,1505278,97006,50000,1618941,5000
800,11,1632246205,51,58675518,2179,1373315,110956,50000,1801924,5000
799,10,1826427225,56,54357954,2242,1357737,107519,50000,1725236,5000
798,7,2710791911,60,52709843,2124,1488979,98988,50000,1653851,5000
797,8,2397028125,34,94001103,1868,1710941,97900,50000,1641334,5000
796,7,2763490340,46,70088524,1921,1678331,96701,50000,1643069,5000
795,11,1714977000,62,50711686,2423,1297617,111043,50000,1825105,5000
794,7,2650940304,45,68728082,2607,1186331,116809,50000,1877646,5000
793,5,3750146775,61,51231514,2043,1529674,98216,50000,1635392,5000
792,7,2655736768,65,47667071,1958,1582411,99185,50000,1684675,5000
791,14,1253081893,38,76943625,2410,1213219,102931,50000,1713102,5000
790,16,1160516274,59,52452713,2417,1280394,113336,50000,1812992,5000
789,15,1140976825,70,40749173,2437,1170473,118089,50000,1868863,5000
788,13,1401475154,70,43378993,2257,1345384,112504,50000,1828701,5000
787,6,3092108313,51,60629575,2339,1321979,114842,50000,1863599,5000
786,4,4551365250,96,31606704,2064,1470080,103000,50000,1708226,5000
785,6,2886622688,55,52484049,1972,1463805,100062,50000,1678240,5000
